Entity_type,AR/FA_Name,Original_EN_Name,Tranformed_EN_Name,Category_of_Entity,Disambiguating_GEO_entities,GEOID_from_GEONAMES ,LAT,LNG,Granular/other_name,comments,Number_of_Camels,File,File_Name_in_AR/FA,File_Name_in_EN,Category_of_File_Name
Geographic,شيراهن,Shīrāhan,Shirahan,Village,Found in geonames w/certainty,115032,25.9719,57.3784,Shīr Āhan Shahr,,5,biyaban.txt,بيابان,Biyaban,District
Geographic,شيبرم,Shībarm,Shibarm,Village,Found in geonames w/certainty,115072,27.98334,51.48873,,,10,dashti.txt,دشتي,Dashti,District
Geographic,شكرو,Shakaru,Shakaru,Village,Found in geonames w/certainty,115274,26.9483,53.5369,,,15,mugam.txt,مكام / مقام,MUGAM / MUQAM,Valley
Geographic,شهري,Shahri,Shahri,Village,Found in geonames w/certainty,115412,28.24361,51.49639,,,25,dashti.txt,دشتي,Dashti,District
Geographic,شغون,Shaghūn,Shaghun,Village,Found in geonames w/certainty,115450,27.2296,56.3506,,,30,shamil_district.txt,شميل / شميلات,SHAMIL / SHAMILaT,District
Geographic,شميل / شميلات,SHAMĪL / SHAMĪLĀT,Shamil / Shamilat ,District,Found in geonames w/certainty,115559,27.5005,56.8648,,,700,shamil_district.txt,شميل / شميلات,SHAMIL / SHAMILaT,District
Geographic,سمبيران,Shambīrān,Shambiran,Village,Found in geonames w/certainty,115564,26.0565,57.2462,,,3,biyaban.txt,بيابان,Biyaban,District
Geographic,شهر نو,Shehrnau,Shehrnau,Unspecified,Found in geonames w/certainty,115769,25.68364,58.01485,,,30,jashk_district.txt,جاشک,Jashk district ,District
Geographic,ستلو,Sitlu,Sitlu,Village,Found in geonames w/certainty,116331,27.1939,52.9656,,,30,gabandi.txt,كابندي,Gabandi,Valley
Geographic,سه چاهان,Sih Chāhān,Sih Chahan,Unspecified,Found in geonames w/certainty,116484,26.96178,57.01343,,,3,minab_district.txt,ميناب / مينار ,MINAB / MINAU ,District
Geographic,سواحل,Savāhil,Savahil,Village,Found in geonames w/certainty,116689,27.353,52.8122,,,3,gabandi.txt,كابندي,Gabandi,Valley
Geographic,سروستان,Sarvistān,Sarvistan,Village,Found in geonames w/certainty,116881,28.04056,51.82889,Sar Mastān,,50,dashti.txt,دشتي,Dashti,District
Geographic,سلغ,Salagh,Salagh,Village,Found in geonames w/certainty,117756,26.6899,55.7069,,,20,qishm_island.txt,قشم,QISHM ISLAND ,Island
Geographic,سهمو ,Sahmu  ,Sahmu  ,Village,Found in geonames w/certainty,117836,27.349,52.8228,Sahveh-ye Shomalī ,,6,gabandi.txt,كابندي,Gabandi,Valley
Geographic,سهمو شرقي,Sahmu Sharqi,Sahmu Sharqi,Village,Found in geonames w/certainty,117837,27.3405,52.8388,Sahveh-ye Jonūbī,,5,gabandi.txt,كابندي,Gabandi,Valley
Geographic,سفيه,Safiyeh,Safiyeh,Village,Found in geonames w/certainty,117909,27.3658,52.6898,,,15,gabandi.txt,كابندي,Gabandi,Valley
Geographic,سديچ ,Sadaich ,Sadaich ,Unspecified,Found in geonames w/certainty,117979,25.70172,58.70884,,,50,jashk_district.txt,جاشک,Jashk district ,District
Geographic,رستاق,Rustāq,Rustaq,Village,Found in geonames w/certainty,118298,26.88714,53.86306,,,20,mugam.txt,مكام / مقام,MUGAM / MUQAM,Valley
Geographic,رابن,Rābin,Rabin,Unspecified,Found in geonames w/certainty,118709,27.05329,57.19537,Rāvang,,3,minab_district.txt,ميناب / مينار ,MINAB / MINAU ,District
Geographic,رمكان,Ramkān,Ramkan,Village,Found in geonames w/certainty,118847,26.8647,56.0374,,,8,qishm_island.txt,قشم,QISHM ISLAND ,Island
Geographic,ربگ,Rabg,Rabg,Unspecified,Found in geonames w/certainty,119011,25.89945,57.55545,,,10,jashk_district.txt,جاشک,Jashk district ,District
Geographic,قماط,QUMĀT,Qumat,Village,Found in geonames w/certainty,119081,31.95,48.48333,,,200,qumat.txt,قماط,QUMAT,Village
Geographic,كلكاضي,Kalkāzi,Kalkazi,Village,Found in geonames w/certainty,120172,27.44639,56.54582,Qal’eh Qāẕī,,20,shamil_district.txt,شميل / شميلات,SHAMIL / SHAMILaT,District
Geographic,پهل كوش,Puhal-i-kōsh,Puhal-i-kosh,Unspecified,Found in geonames w/certainty,120934,27.009,55.7394,,,4,bastak.txt,بستک,Bastak,District
Geographic,اموني,Amūni,Amuni,Village,Found in geonames w/certainty,121857,27.256,52.9625,‘Amānī,,12,gabandi.txt,كابندي,Gabandi,Valley
Geographic,نوبند,Nauband,Nauband,Village,Found in geonames w/certainty,122073,27.2629,57.0087,Now Band-e Qadīm,,10,shamil_district.txt,شميل / شميلات,SHAMIL / SHAMILaT,District
Geographic,نيان,Niyān,Niyan,Village,Found in geonames w/certainty,122239,27.5496,56.8283,,,30,shamil_district.txt,شميل / شميلات,SHAMIL / SHAMILaT,District
